role_id,title,description,requirements,salary_min,salary_max,status,recruiter_id,created_at
11,Secure Software Engineer,Cybersecurity position: Secure Software Engineer,"{""skills"": [""secure coding"", ""software security"", ""input validation"", ""error handling"", ""static code analysis"", ""threat modeling"", ""secure SDLC""], ""certifications"": [""GIAC GSSP"", ""CSSLP"", ""CompTIA PenTest+"", ""AWS or Microsoft Developer Certification""], ""education"": ""Bachelor's in Computer Science, Software Engineering, Cybersecurity"", ""experience"": {""min"": 2, ""max"": 5}}",80000,150000,active,1,2025-10-18T21:20:19.082170
12,Secure Systems Engineer,Cybersecurity position: Secure Systems Engineer,"{""skills"": [""secure system design"", ""system hardening"", ""risk analysis"", ""vulnerability identification"", ""secure configuration"", ""system security testing"", ""secure SDLC""], ""certifications"": [""CompTIA Security+"", ""CompTIA CySA+"", ""GIAC GSEC"", ""Microsoft or Linux systems engineering certifications""], ""education"": ""Bachelor's degree in Information Technology, Cybersecurity, Systems Engineering"", ""experience"": {""min"": 2, ""max"": 5}}",80000,150000,active,1,2025-10-06T21:20:19.082176
13,Software Security Analyst,Cybersecurity position: Software Security Analyst,"{""skills"": [""application security"", ""secure code review"", ""static analysis"", ""threat modeling"", ""vulnerability analysis"", ""secure SDLC"", ""software risk assessment""], ""certifications"": [""GIAC GWAPT or GSSP"", ""CompTIA PenTest+"", ""CSSLP"", ""Vendor secure development certifications""], ""education"": ""Bachelor's in Computer Science, Software Engineering, Cybersecurity"", ""experience"": {""min"": 1, ""max"": 4}}",80000,150000,active,1,2025-10-05T21:20:19.082181
14,Systems Security Analyst,Cybersecurity position: Systems Security Analyst,"{""skills"": [""system hardening"", ""vulnerability management"", ""security monitoring"", ""configuration management"", ""access control"", ""risk mitigation""], ""certifications"": [""CompTIA Security+"", ""CompTIA CySA+"", ""GIAC GSEC""], ""education"": ""Bachelor's degree in Cybersecurity, IT, Computer Science"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-09-30T21:20:19.082187
15,Network Operations Analyst,Cybersecurity position: Network Operations Analyst,"{""skills"": [""network monitoring"", ""routing"", ""switching"", ""network security"", ""firewalls"", ""vulnerability patching"", ""troubleshooting""], ""certifications"": [""CompTIA Network+"", ""Cisco CCNA"", ""CompTIA Security+""], ""education"": ""Associate's or Bachelor's degree in Information Technology, Networking, Cybersecurity"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-10-09T21:20:19.082192
16,Database Security Analyst,Cybersecurity position: Database Security Analyst,"{""skills"": [""database administration"", ""SQL"", ""backup and recovery"", ""performance tuning"", ""data integrity"", ""db security"", ""database monitoring""], ""certifications"": [""Microsoft SQL Server (MCSA)"", ""Oracle Database Associate"", ""CompTIA Data+"", ""AWS/Azure database specialty certifications""], ""education"": ""Bachelor's degree in Computer Science, Information Systems, IT"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-10-15T21:20:19.082197
17,Cybersecurity Systems Administrator,Cybersecurity position: Cybersecurity Systems Administrator,"{""skills"": [""system hardening"", ""patch management"", ""user access management"", ""server configuration"", ""backup and recovery"", ""os administration"", ""security monitoring""], ""certifications"": [""CompTIA Security+"", ""CompTIA Linux+ or Server+"", ""Microsoft or Linux system administration certifications""], ""education"": ""Associate's or Bachelor's in Information Technology, Cybersecurity, Computer Science"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-10-14T21:20:19.082203
18,Cybersecurity Data Analyst,Cybersecurity position: Cybersecurity Data Analyst,"{""skills"": [""data analysis"", ""anomaly detection"", ""metric development"", ""threat analytics"", ""data quality validation"", ""statistical analysis"", ""cybersecurity insights""], ""certifications"": [""CompTIA Data+"", ""Google/AWS/Azure Data Analytics certifications"", ""ISC2 CC or Security+""], ""education"": ""Bachelor's degree in Data Science, Cybersecurity, Computer Science, Information Systems"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-09-30T21:20:19.082225
19,Cybercrime Investigator,Cybersecurity position: Cybercrime Investigator,"{""skills"": [""digital evidence"", ""log analysis"", ""forensics"", ""chain of custody"", ""threat analysis"", ""intrusion investigation"", ""artifact examination""], ""certifications"": [""CompTIA CySA+"", ""CompTIA Security+"", ""EC-Council CHFI"", ""GIAC GCIH or GCFA""], ""education"": ""Bachelor's degree in Cybersecurity, Digital Forensics, Computer Science, Criminal Justice"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-10-21T21:20:19.082248
20,Digital Evidence Analyst,Cybersecurity position: Digital Evidence Analyst,"{""skills"": [""digital forensics"", ""evidence preservation"", ""drive imaging"", ""file system analysis"", ""memory analysis"", ""artifact analysis"", ""chain of custody"", ""log analysis""], ""certifications"": [""CompTIA Security+"", ""CompTIA CySA+"", ""CHFI"", ""GIAC GCFA or GCIH""], ""education"": ""Associate's or Bachelor's degree in Digital Forensics, Cybersecurity, Information Technology"", ""experience"": {""min"": 1, ""max"": 3}}",80000,150000,active,1,2025-09-26T21:20:19.082257
