analysis_id,application_id,ai_score,skills_matched,skill_gaps,experience_years,experience_level,education,certifications,reasoning,analysis_completed_at
10538,10611,82.6,"[""vulnerability triage"", ""alert triage"", ""IOC detection"", ""malware analysis"", ""log analysis"", ""forensic processing"", ""threat containment"", ""network traffic analysis""]","[""Incident Response"", ""Digital evidence collection""]",5,mid,Bachelor's degree in Computer Science,"[""GIAC Certified Incident Handler (GCIH)"", ""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10539,10612,70.8,"[""Digital evidence collection"", ""threat containment"", ""forensic processing"", ""malware analysis"", ""IOC detection"", ""network traffic analysis""]","[""Incident Response"", ""log analysis"", ""vulnerability triage"", ""alert triage""]",3,mid,Bachelor's degree in Cybersecurity,"[""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10540,10613,63.5,"[""vulnerability triage"", ""forensic processing"", ""IOC detection"", ""threat containment"", ""Digital evidence collection""]","[""Incident Response"", ""malware analysis"", ""network traffic analysis"", ""log analysis"", ""alert triage""]",5,mid,Master's degree in Cybersecurity,[],,2025-11-24 03:20:19
10541,10614,70.8,"[""alert triage"", ""log analysis"", ""vulnerability triage"", ""network traffic analysis"", ""threat containment"", ""IOC detection""]","[""Incident Response"", ""Digital evidence collection"", ""forensic processing"", ""malware analysis""]",3,mid,Bachelor's degree in Information Technology,"[""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
10542,10615,82.6,"[""network traffic analysis"", ""vulnerability triage"", ""threat containment"", ""IOC detection"", ""malware analysis"", ""log analysis"", ""alert triage"", ""Digital evidence collection""]","[""Incident Response"", ""forensic processing""]",3,mid,Master's degree in Cybersecurity,"[""CompTIA Security+"", ""CompTIA CySA+""]",,2025-11-24 03:20:19
10543,10616,75.3,"[""Incident Response"", ""forensic processing"", ""malware analysis"", ""Digital evidence collection"", ""vulnerability triage"", ""threat containment"", ""alert triage""]","[""network traffic analysis"", ""log analysis"", ""IOC detection""]",4,mid,Master's degree in Cybersecurity,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10544,10617,58.9,"[""Digital evidence collection"", ""forensic processing"", ""alert triage"", ""network traffic analysis"", ""log analysis""]","[""Incident Response"", ""malware analysis"", ""vulnerability triage"", ""threat containment"", ""IOC detection""]",1,entry,Bachelor's degree in Information Technology,[],,2025-11-24 03:20:19
10545,10618,82.6,"[""threat containment"", ""malware analysis"", ""forensic processing"", ""network traffic analysis"", ""Digital evidence collection"", ""vulnerability triage"", ""alert triage"", ""Incident Response""]","[""log analysis"", ""IOC detection""]",3,mid,Master's degree in Information Security,"[""GIAC Forensic Analyst (GCFA)"", ""CompTIA Security+""]",,2025-11-24 03:20:19
10546,10619,75.3,"[""network traffic analysis"", ""threat containment"", ""log analysis"", ""vulnerability triage"", ""Digital evidence collection"", ""IOC detection"", ""malware analysis""]","[""Incident Response"", ""forensic processing"", ""alert triage""]",2,entry,Master's degree in Cybersecurity,"[""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
10547,10620,75.3,"[""malware analysis"", ""threat containment"", ""Incident Response"", ""vulnerability triage"", ""alert triage"", ""forensic processing"", ""log analysis""]","[""Digital evidence collection"", ""network traffic analysis"", ""IOC detection""]",5,mid,Associate's degree in Cybersecurity,"[""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10548,10621,82.6,"[""Incident Response"", ""IOC detection"", ""vulnerability triage"", ""forensic processing"", ""threat containment"", ""log analysis"", ""Digital evidence collection"", ""alert triage""]","[""malware analysis"", ""network traffic analysis""]",4,mid,Master's degree in Information Security,"[""CompTIA CySA+"", ""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10549,10622,57.3,"[""alert triage"", ""forensic processing"", ""Incident Response"", ""vulnerability triage"", ""malware analysis""]","[""Digital evidence collection"", ""network traffic analysis"", ""log analysis"", ""threat containment"", ""IOC detection""]",7,mid,Bachelor's degree in Cybersecurity,[],,2025-11-24 03:20:19
10550,10623,70.8,"[""Digital evidence collection"", ""vulnerability triage"", ""log analysis"", ""Incident Response"", ""threat containment"", ""network traffic analysis""]","[""forensic processing"", ""malware analysis"", ""alert triage"", ""IOC detection""]",4,mid,Bachelor's degree in Computer Science,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10551,10624,54.2,"[""threat containment"", ""log analysis"", ""Digital evidence collection"", ""malware analysis"", ""Incident Response""]","[""forensic processing"", ""network traffic analysis"", ""vulnerability triage"", ""alert triage"", ""IOC detection""]",0,entry,Bachelor's degree in Cybersecurity,[],,2025-11-24 03:20:19
10552,10625,57.3,"[""Digital evidence collection"", ""network traffic analysis"", ""log analysis"", ""Incident Response"", ""IOC detection""]","[""forensic processing"", ""malware analysis"", ""vulnerability triage"", ""threat containment"", ""alert triage""]",7,mid,Bachelor's degree in Information Technology,[],,2025-11-24 03:20:19
10553,10626,82.6,"[""threat containment"", ""Incident Response"", ""log analysis"", ""Digital evidence collection"", ""alert triage"", ""malware analysis"", ""vulnerability triage"", ""forensic processing""]","[""network traffic analysis"", ""IOC detection""]",4,mid,Master's degree in Cybersecurity,"[""CompTIA CySA+"", ""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
10554,10627,75.3,"[""IOC detection"", ""forensic processing"", ""threat containment"", ""alert triage"", ""network traffic analysis"", ""log analysis"", ""malware analysis""]","[""Incident Response"", ""Digital evidence collection"", ""vulnerability triage""]",3,mid,Bachelor's degree in Computer Science,"[""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10555,10628,82.6,"[""forensic processing"", ""alert triage"", ""network traffic analysis"", ""Incident Response"", ""IOC detection"", ""vulnerability triage"", ""Digital evidence collection"", ""log analysis""]","[""malware analysis"", ""threat containment""]",3,mid,Bachelor's degree in Computer Science,"[""GIAC Certified Incident Handler (GCIH)"", ""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10556,10629,70.8,"[""threat containment"", ""alert triage"", ""vulnerability triage"", ""network traffic analysis"", ""Digital evidence collection"", ""IOC detection""]","[""Incident Response"", ""forensic processing"", ""malware analysis"", ""log analysis""]",3,mid,Associate's degree in Cybersecurity,"[""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10557,10630,75.3,"[""malware analysis"", ""alert triage"", ""IOC detection"", ""forensic processing"", ""vulnerability triage"", ""Digital evidence collection"", ""threat containment""]","[""Incident Response"", ""network traffic analysis"", ""log analysis""]",2,entry,Bachelor's degree in Information Technology,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10558,10631,68,"[""Incident Response"", ""malware analysis"", ""network traffic analysis"", ""alert triage"", ""IOC detection"", ""vulnerability triage""]","[""Digital evidence collection"", ""forensic processing"", ""log analysis"", ""threat containment""]",3,mid,Bachelor's degree in Computer Science,[],,2025-11-24 03:20:19
10559,10632,59,"[""alert triage"", ""IOC detection"", ""vulnerability triage"", ""threat containment""]","[""Incident Response"", ""Digital evidence collection"", ""forensic processing"", ""malware analysis"", ""network traffic analysis"", ""log analysis""]",4,mid,Bachelor's degree in Computer Science,[],,2025-11-24 03:20:19
10560,10633,52.8,"[""Digital evidence collection"", ""IOC detection"", ""forensic processing"", ""malware analysis""]","[""Incident Response"", ""network traffic analysis"", ""log analysis"", ""vulnerability triage"", ""threat containment"", ""alert triage""]",7,mid,Master's degree in Cybersecurity,[],,2025-11-24 03:20:19
10561,10634,75.3,"[""alert triage"", ""vulnerability triage"", ""Incident Response"", ""log analysis"", ""malware analysis"", ""forensic processing"", ""network traffic analysis""]","[""Digital evidence collection"", ""threat containment"", ""IOC detection""]",3,mid,Master's degree in Cybersecurity,"[""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10562,10635,70.8,"[""network traffic analysis"", ""log analysis"", ""alert triage"", ""vulnerability triage"", ""malware analysis"", ""Digital evidence collection""]","[""Incident Response"", ""forensic processing"", ""threat containment"", ""IOC detection""]",4,mid,Bachelor's degree in Computer Science,"[""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10563,10636,70.8,"[""IOC detection"", ""log analysis"", ""vulnerability triage"", ""forensic processing"", ""Digital evidence collection"", ""threat containment""]","[""Incident Response"", ""malware analysis"", ""network traffic analysis"", ""alert triage""]",2,entry,Master's degree in Cybersecurity,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10564,10637,54.2,"[""network traffic analysis"", ""vulnerability triage"", ""Digital evidence collection"", ""threat containment"", ""log analysis""]","[""Incident Response"", ""forensic processing"", ""malware analysis"", ""alert triage"", ""IOC detection""]",0,entry,Associate's degree in Cybersecurity,[],,2025-11-24 03:20:19
10565,10638,82.6,"[""Incident Response"", ""Digital evidence collection"", ""IOC detection"", ""network traffic analysis"", ""log analysis"", ""alert triage"", ""threat containment"", ""vulnerability triage""]","[""forensic processing"", ""malware analysis""]",5,mid,Bachelor's degree in Cybersecurity,"[""EC-Council Certified Incident Handler (ECIH)"", ""CompTIA CySA+""]",,2025-11-24 03:20:19
10566,10639,70.8,"[""IOC detection"", ""Digital evidence collection"", ""vulnerability triage"", ""threat containment"", ""forensic processing"", ""alert triage""]","[""Incident Response"", ""malware analysis"", ""network traffic analysis"", ""log analysis""]",4,mid,Bachelor's degree in Information Technology,"[""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
10567,10640,75.3,"[""threat containment"", ""Incident Response"", ""IOC detection"", ""malware analysis"", ""log analysis"", ""Digital evidence collection"", ""forensic processing""]","[""network traffic analysis"", ""vulnerability triage"", ""alert triage""]",2,entry,Associate's degree in Cybersecurity,"[""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
10568,10641,70.8,"[""Digital evidence collection"", ""threat containment"", ""forensic processing"", ""vulnerability triage"", ""Incident Response"", ""network traffic analysis""]","[""malware analysis"", ""log analysis"", ""alert triage"", ""IOC detection""]",2,entry,Bachelor's degree in Computer Science,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10569,10642,75.3,"[""vulnerability triage"", ""alert triage"", ""Incident Response"", ""forensic processing"", ""malware analysis"", ""threat containment"", ""network traffic analysis""]","[""Digital evidence collection"", ""log analysis"", ""IOC detection""]",3,mid,Master's degree in Information Security,"[""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10570,10643,54.2,"[""network traffic analysis"", ""log analysis"", ""threat containment"", ""malware analysis"", ""Incident Response""]","[""Digital evidence collection"", ""forensic processing"", ""vulnerability triage"", ""alert triage"", ""IOC detection""]",0,entry,Bachelor's degree in Information Technology,[],,2025-11-24 03:20:19
10571,10644,82.6,"[""vulnerability triage"", ""alert triage"", ""threat containment"", ""network traffic analysis"", ""log analysis"", ""malware analysis"", ""Digital evidence collection"", ""Incident Response""]","[""forensic processing"", ""IOC detection""]",5,mid,Bachelor's degree in Information Technology,"[""GIAC Forensic Analyst (GCFA)"", ""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10572,10645,82.6,"[""IOC detection"", ""vulnerability triage"", ""malware analysis"", ""Digital evidence collection"", ""forensic processing"", ""alert triage"", ""threat containment"", ""network traffic analysis""]","[""Incident Response"", ""log analysis""]",2,entry,Associate's degree in Cybersecurity,"[""CompTIA CySA+"", ""CompTIA Security+""]",,2025-11-24 03:20:19
10573,10646,59,"[""Digital evidence collection"", ""network traffic analysis"", ""alert triage"", ""forensic processing""]","[""Incident Response"", ""malware analysis"", ""log analysis"", ""vulnerability triage"", ""threat containment"", ""IOC detection""]",5,mid,Associate's degree in Cybersecurity,[],,2025-11-24 03:20:19
10574,10647,64.9,"[""alert triage"", ""Incident Response"", ""network traffic analysis"", ""log analysis"", ""malware analysis"", ""threat containment""]","[""Digital evidence collection"", ""forensic processing"", ""vulnerability triage"", ""IOC detection""]",6,mid,Bachelor's degree in Computer Science,[],,2025-11-24 03:20:19
10575,10648,70.8,"[""IOC detection"", ""log analysis"", ""Incident Response"", ""vulnerability triage"", ""forensic processing"", ""malware analysis""]","[""Digital evidence collection"", ""network traffic analysis"", ""threat containment"", ""alert triage""]",3,mid,Bachelor's degree in Information Technology,"[""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10576,10649,70.8,"[""threat containment"", ""vulnerability triage"", ""alert triage"", ""network traffic analysis"", ""IOC detection"", ""log analysis""]","[""Incident Response"", ""Digital evidence collection"", ""forensic processing"", ""malware analysis""]",2,entry,Associate's degree in Cybersecurity,"[""EC-Council Certified Incident Handler (ECIH)""]",,2025-11-24 03:20:19
10577,10650,75.3,"[""network traffic analysis"", ""alert triage"", ""forensic processing"", ""threat containment"", ""malware analysis"", ""IOC detection"", ""Incident Response""]","[""Digital evidence collection"", ""log analysis"", ""vulnerability triage""]",5,mid,Bachelor's degree in Information Technology,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10578,10651,70.8,"[""malware analysis"", ""forensic processing"", ""network traffic analysis"", ""Digital evidence collection"", ""vulnerability triage"", ""threat containment""]","[""Incident Response"", ""log analysis"", ""alert triage"", ""IOC detection""]",3,mid,Master's degree in Cybersecurity,"[""GIAC Forensic Analyst (GCFA)""]",,2025-11-24 03:20:19
10579,10652,82.6,"[""forensic processing"", ""vulnerability triage"", ""Digital evidence collection"", ""IOC detection"", ""Incident Response"", ""malware analysis"", ""alert triage"", ""network traffic analysis""]","[""log analysis"", ""threat containment""]",4,mid,Master's degree in Cybersecurity,"[""EC-Council Certified Incident Handler (ECIH)"", ""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10580,10653,75.3,"[""Incident Response"", ""Digital evidence collection"", ""network traffic analysis"", ""vulnerability triage"", ""alert triage"", ""forensic processing"", ""malware analysis""]","[""log analysis"", ""threat containment"", ""IOC detection""]",3,mid,Bachelor's degree in Cybersecurity,"[""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10581,10654,75.3,"[""forensic processing"", ""network traffic analysis"", ""malware analysis"", ""Incident Response"", ""Digital evidence collection"", ""log analysis"", ""IOC detection""]","[""vulnerability triage"", ""threat containment"", ""alert triage""]",3,mid,Bachelor's degree in Information Technology,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10582,10655,75.3,"[""forensic processing"", ""network traffic analysis"", ""IOC detection"", ""malware analysis"", ""log analysis"", ""Digital evidence collection"", ""threat containment""]","[""Incident Response"", ""vulnerability triage"", ""alert triage""]",5,mid,Master's degree in Cybersecurity,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10583,10656,70.8,"[""vulnerability triage"", ""log analysis"", ""network traffic analysis"", ""malware analysis"", ""IOC detection"", ""Incident Response""]","[""Digital evidence collection"", ""forensic processing"", ""threat containment"", ""alert triage""]",3,mid,Master's degree in Information Security,"[""GIAC Certified Incident Handler (GCIH)""]",,2025-11-24 03:20:19
10584,10657,84.4,"[""Data collection"", ""Data querying"", ""Threat hunting"", ""Metadata analysis"", ""Security reporting"", ""Network threat identification"", ""Threat intelligence""]","[""Threat analysis"", ""Virtual machine operations""]",2,entry,Master's degree in Cybersecurity,"[""CompTIA Security+"", ""CompTIA CySA+""]",,2025-11-24 03:20:19
10585,10658,82.1,"[""Threat intelligence"", ""Network threat identification"", ""Data querying"", ""Security reporting"", ""Virtual machine operations"", ""Threat hunting"", ""Threat analysis""]","[""Metadata analysis"", ""Data collection""]",1,entry,Bachelor's degree in Computer Science,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10586,10659,68.8,"[""Virtual machine operations"", ""Threat intelligence"", ""Threat hunting"", ""Network threat identification"", ""Security reporting""]","[""Threat analysis"", ""Data querying"", ""Metadata analysis"", ""Data collection""]",1,entry,Master's degree in Cybersecurity,[],,2025-11-24 03:20:19
10587,10660,59.6,"[""Security reporting"", ""Data querying"", ""Data collection"", ""Threat intelligence""]","[""Threat analysis"", ""Threat hunting"", ""Network threat identification"", ""Metadata analysis"", ""Virtual machine operations""]",4,mid,Bachelor's degree in Information Technology,[],,2025-11-24 03:20:19
10588,10661,76.6,"[""Threat intelligence"", ""Metadata analysis"", ""Threat hunting"", ""Threat analysis"", ""Data querying"", ""Network threat identification""]","[""Virtual machine operations"", ""Security reporting"", ""Data collection""]",3,mid,Master's degree in Cybersecurity,"[""GIAC Cyber Threat Intelligence (GCTI)""]",,2025-11-24 03:20:19
10589,10662,76.6,"[""Threat intelligence"", ""Threat hunting"", ""Network threat identification"", ""Virtual machine operations"", ""Metadata analysis"", ""Data querying""]","[""Threat analysis"", ""Security reporting"", ""Data collection""]",2,entry,Master's degree in Cybersecurity,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10590,10663,82.1,"[""Threat analysis"", ""Threat intelligence"", ""Data collection"", ""Metadata analysis"", ""Virtual machine operations"", ""Threat hunting"", ""Network threat identification""]","[""Data querying"", ""Security reporting""]",3,mid,Associate's degree in Cybersecurity,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10591,10664,74.3,"[""Data collection"", ""Threat hunting"", ""Threat intelligence"", ""Threat analysis"", ""Network threat identification"", ""Virtual machine operations""]","[""Data querying"", ""Metadata analysis"", ""Security reporting""]",2,entry,Associate's degree in Cybersecurity,[],,2025-11-24 03:20:19
10592,10665,68.8,"[""Threat hunting"", ""Threat intelligence"", ""Data querying"", ""Metadata analysis"", ""Threat analysis""]","[""Network threat identification"", ""Virtual machine operations"", ""Security reporting"", ""Data collection""]",1,entry,Master's degree in Cybersecurity,[],,2025-11-24 03:20:19
10593,10666,82.1,"[""Threat intelligence"", ""Network threat identification"", ""Data querying"", ""Virtual machine operations"", ""Threat hunting"", ""Metadata analysis"", ""Data collection""]","[""Threat analysis"", ""Security reporting""]",2,entry,Bachelor's degree in Cybersecurity,"[""GIAC Cyber Threat Intelligence (GCTI)""]",,2025-11-24 03:20:19
10594,10667,76.6,"[""Threat analysis"", ""Threat hunting"", ""Security reporting"", ""Data collection"", ""Data querying"", ""Metadata analysis""]","[""Network threat identification"", ""Virtual machine operations"", ""Threat intelligence""]",1,entry,Bachelor's degree in Information Technology,"[""GIAC Cyber Threat Intelligence (GCTI)""]",,2025-11-24 03:20:19
10595,10668,82.1,"[""Security reporting"", ""Threat analysis"", ""Metadata analysis"", ""Threat hunting"", ""Data collection"", ""Data querying"", ""Virtual machine operations""]","[""Network threat identification"", ""Threat intelligence""]",1,entry,Bachelor's degree in Cybersecurity,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10596,10669,76.6,"[""Security reporting"", ""Data querying"", ""Threat analysis"", ""Network threat identification"", ""Threat intelligence"", ""Virtual machine operations""]","[""Threat hunting"", ""Metadata analysis"", ""Data collection""]",2,entry,Master's degree in Information Security,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10597,10670,61.6,"[""Network threat identification"", ""Security reporting"", ""Virtual machine operations"", ""Data querying"", ""Data collection""]","[""Threat analysis"", ""Threat hunting"", ""Metadata analysis"", ""Threat intelligence""]",5,mid,Associate's degree in Cybersecurity,[],,2025-11-24 03:20:19
10598,10671,63.4,"[""Security reporting"", ""Network threat identification"", ""Virtual machine operations"", ""Threat hunting"", ""Metadata analysis""]","[""Threat analysis"", ""Data querying"", ""Threat intelligence"", ""Data collection""]",0,entry,Associate's degree in Cybersecurity,[],,2025-11-24 03:20:19
10599,10672,76.6,"[""Threat intelligence"", ""Threat analysis"", ""Data querying"", ""Metadata analysis"", ""Network threat identification"", ""Security reporting""]","[""Threat hunting"", ""Virtual machine operations"", ""Data collection""]",2,entry,Master's degree in Information Security,"[""CompTIA CySA+""]",,2025-11-24 03:20:19
10600,10673,76.6,"[""Network threat identification"", ""Threat analysis"", ""Virtual machine operations"", ""Data querying"", ""Threat intelligence"", ""Metadata analysis""]","[""Threat hunting"", ""Security reporting"", ""Data collection""]",3,mid,Master's degree in Cybersecurity,"[""GIAC Cyber Threat Intelligence (GCTI)""]",,2025-11-24 03:20:19
10601,10674,76.6,"[""Virtual machine operations"", ""Threat analysis"", ""Threat hunting"", ""Threat intelligence"", ""Network threat identification"", ""Data querying""]","[""Metadata analysis"", ""Security reporting"", ""Data collection""]",3,mid,Bachelor's degree in Cybersecurity,"[""GIAC Cyber Threat Intelligence (GCTI)""]",,2025-11-24 03:20:19
10602,10675,74.3,"[""Network threat identification"", ""Threat intelligence"", ""Virtual machine operations"", ""Threat hunting"", ""Data collection"", ""Threat analysis""]","[""Data querying"", ""Metadata analysis"", ""Security reporting""]",1,entry,Bachelor's degree in Cybersecurity,[],,2025-11-24 03:20:19
10603,10676,76.6,"[""Metadata analysis"", ""Threat analysis"", ""Virtual machine operations"", ""Security reporting"", ""Network threat identification"", ""Threat intelligence""]","[""Threat hunting"", ""Data querying"", ""Data collection""]",1,entry,Bachelor's degree in Cybersecurity,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10604,10677,76.6,"[""Threat intelligence"", ""Network threat identification"", ""Data collection"", ""Threat hunting"", ""Virtual machine operations"", ""Threat analysis""]","[""Data querying"", ""Metadata analysis"", ""Security reporting""]",1,entry,Associate's degree in Cybersecurity,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10605,10678,82.1,"[""Security reporting"", ""Metadata analysis"", ""Threat intelligence"", ""Threat analysis"", ""Threat hunting"", ""Data querying"", ""Virtual machine operations""]","[""Network threat identification"", ""Data collection""]",1,entry,Master's degree in Cybersecurity,"[""CompTIA Security+""]",,2025-11-24 03:20:19
10606,10679,76.6,"[""Virtual machine operations"", ""Threat intelligence"", ""Metadata analysis"", ""Data collection"", ""Threat analysis"", ""Network threat identification""]","[""Threat hunting"", ""Data querying"", ""Security reporting""]",3,mid,Bachelor's degree in Computer Science,"[""EC-Council Certified Threat Intelligence Analyst (CTIA)""]",,2025-11-24 03:20:19
