application_id,candidate_id,role_id,job_title,status,ai_score,applied_at,matched_skills,missing_skills
35,35,1,Security Analyst,test_completed,69.5,2024-11-11T00:00:00,"Log Analysis, Network Security, Incident Response, Threat Detection",SIEM
36,36,1,Security Analyst,test_completed,72.1,2024-10-10T00:00:00,"SIEM, Incident Response","Log Analysis, Network Security, Threat Detection"
37,37,1,Security Analyst,test_completed,73.0,2024-10-25T00:00:00,"Log Analysis, Network Security, Incident Response, Threat Detection",SIEM
38,38,1,Security Analyst,test_completed,73.5,2024-11-13T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
39,39,1,Security Analyst,test_completed,72.3,2024-10-27T00:00:00,"SIEM, Network Security, Incident Response","Log Analysis, Threat Detection"
40,40,1,Security Analyst,test_completed,70.1,2024-10-29T00:00:00,"SIEM, Log Analysis, Incident Response, Threat Detection",Network Security
41,41,1,Security Analyst,test_completed,73.4,2024-11-09T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
42,42,1,Security Analyst,test_completed,69.0,2024-10-23T00:00:00,"SIEM, Log Analysis, Network Security, Threat Detection",Incident Response
43,43,1,Security Analyst,test_completed,67.9,2024-11-04T00:00:00,"SIEM, Log Analysis, Incident Response, Threat Detection",Network Security
44,44,1,Security Analyst,test_completed,74.8,2024-10-24T00:00:00,"SIEM, Log Analysis, Incident Response, Network Security, Threat Detection",
45,45,1,Security Analyst,test_completed,70.9,2024-10-27T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
46,46,1,Security Analyst,test_completed,64.4,2024-10-22T00:00:00,"Log Analysis, Incident Response","SIEM, Network Security, Threat Detection"
47,47,1,Security Analyst,test_completed,65.5,2024-10-01T00:00:00,"Log Analysis, Network Security, Incident Response","SIEM, Threat Detection"
48,48,1,Security Analyst,test_completed,67.5,2024-10-24T00:00:00,"SIEM, Log Analysis, Incident Response, Network Security, Threat Detection",
49,49,1,Security Analyst,test_completed,65.1,2024-10-28T00:00:00,"SIEM, Log Analysis, Network Security, Incident Response",Threat Detection
50,50,1,Security Analyst,test_completed,69.3,2024-10-05T00:00:00,"SIEM, Log Analysis, Incident Response, Network Security, Threat Detection",
51,51,1,Security Analyst,not_eligible,57.4,2024-11-07T00:00:00,"SIEM, Log Analysis, Network Security, Incident Response",Threat Detection
52,52,1,Security Analyst,test_completed,62.8,2024-10-20T00:00:00,"SIEM, Log Analysis, Network Security, Incident Response",Threat Detection
53,53,1,Security Analyst,not_eligible,57.4,2024-11-15T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
54,54,1,Security Analyst,not_eligible,56.5,2024-10-01T00:00:00,"Network Security, Threat Detection","SIEM, Log Analysis, Incident Response"
55,55,1,Security Analyst,not_eligible,55.9,2024-10-29T00:00:00,"SIEM, Log Analysis","Network Security, Incident Response, Threat Detection"
56,56,1,Security Analyst,not_eligible,56.6,2024-10-09T00:00:00,"SIEM, Log Analysis","Network Security, Incident Response, Threat Detection"
57,57,1,Security Analyst,test_completed,63.3,2024-10-29T00:00:00,"SIEM, Log Analysis, Incident Response, Threat Detection",Network Security
58,58,1,Security Analyst,test_completed,62.6,2024-10-16T00:00:00,Incident Response,"SIEM, Log Analysis, Network Security"
59,59,1,Security Analyst,not_eligible,58.0,2024-10-25T00:00:00,"SIEM, Log Analysis, Threat Detection","Network Security, Incident Response"
60,60,1,Security Analyst,not_eligible,58.9,2024-11-01T00:00:00,"Log Analysis, Incident Response","SIEM, Network Security, Threat Detection"
61,61,1,Security Analyst,not_eligible,58.1,2024-10-04T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
62,62,1,Security Analyst,test_completed,62.9,2024-10-19T00:00:00,"SIEM, Log Analysis, Network Security, Incident Response",Threat Detection
63,63,1,Security Analyst,test_completed,62.4,2024-11-12T00:00:00,"SIEM, Log Analysis, Incident Response, Network Security, Threat Detection",
64,64,1,Security Analyst,test_completed,61.7,2024-10-25T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
65,65,1,Security Analyst,not_eligible,57.2,2024-11-04T00:00:00,"SIEM, Network Security, Incident Response, Threat Detection",Log Analysis
66,66,1,Security Analyst,not_eligible,55,2024-10-19T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
67,67,1,Security Analyst,test_completed,60.5,2024-11-14T00:00:00,Log Analysis,"SIEM, Network Security, Incident Response"
68,68,1,Security Analyst,test_completed,62.4,2024-10-01T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
69,69,1,Security Analyst,not_eligible,56.4,2024-10-28T00:00:00,"SIEM, Log Analysis, Incident Response, Threat Detection",Network Security
70,70,1,Security Analyst,not_eligible,55.8,2024-11-01T00:00:00,"SIEM, Log Analysis, Network Security","Incident Response, Threat Detection"
71,71,1,Security Analyst,not_eligible,58.5,2024-10-30T00:00:00,"SIEM, Log Analysis, Network Security, Incident Response",Threat Detection
72,72,1,Security Analyst,not_eligible,55.7,2024-10-02T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
73,73,1,Security Analyst,test_completed,60.6,2024-11-10T00:00:00,"SIEM, Log Analysis, Network Security, Incident Response",Threat Detection
74,74,1,Security Analyst,test_completed,63.1,2024-10-27T00:00:00,"Log Analysis, Network Security, Incident Response, Threat Detection",SIEM
75,75,1,Security Analyst,test_completed,64.8,2024-10-20T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
76,76,1,Security Analyst,not_eligible,59.8,2024-10-14T00:00:00,"Log Analysis, Network Security, Incident Response, Threat Detection",SIEM
77,77,1,Security Analyst,not_eligible,58.9,2024-10-07T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
78,78,1,Security Analyst,test_completed,61.7,2024-10-29T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
79,79,1,Security Analyst,test_completed,60.2,2024-10-18T00:00:00,"SIEM, Incident Response","Log Analysis, Network Security, Threat Detection"
80,80,1,Security Analyst,not_eligible,57.8,2024-11-06T00:00:00,"SIEM, Log Analysis, Threat Detection","Network Security, Incident Response"
81,81,1,Security Analyst,not_eligible,55.5,2024-11-10T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
82,82,1,Security Analyst,not_eligible,57.6,2024-10-03T00:00:00,"Log Analysis, Incident Response","SIEM, Network Security, Threat Detection"
83,83,1,Security Analyst,not_eligible,59.0,2024-11-01T00:00:00,"SIEM, Log Analysis, Network Security, Threat Detection",Incident Response
84,84,1,Security Analyst,not_eligible,55.3,2024-11-15T00:00:00,"SIEM, Log Analysis, Incident Response","Network Security, Threat Detection"
85,85,1,Security Analyst,not_eligible,57.7,2024-11-11T00:00:00,"SIEM, Log Analysis, Incident Response, Network Security, Threat Detection",
86,86,2,Penetration Tester,test_completed,87.9,2024-10-07T00:00:00,"Nmap, OWASP, Burp Suite","Metasploit, Penetration Testing"
87,87,2,Penetration Tester,test_completed,91.4,2024-10-18T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
88,88,2,Penetration Tester,test_completed,89.4,2024-10-23T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
89,89,2,Penetration Tester,test_completed,86.6,2024-10-18T00:00:00,"Metasploit, OWASP, Burp Suite","Nmap, Penetration Testing"
90,90,2,Penetration Tester,test_completed,85.8,2024-10-26T00:00:00,"Metasploit, Nmap, Burp Suite","Penetration Testing, OWASP"
91,91,2,Penetration Tester,test_completed,80.9,2024-10-31T00:00:00,"Metasploit, Nmap, OWASP","Penetration Testing, Burp Suite"
92,92,2,Penetration Tester,test_completed,75.3,2024-10-20T00:00:00,"Metasploit, Nmap, Burp Suite","Penetration Testing, OWASP"
93,93,2,Penetration Tester,test_completed,76.6,2024-11-09T00:00:00,"Nmap, Burp Suite","Metasploit, OWASP, Penetration Testing"
94,94,2,Penetration Tester,test_completed,75.6,2024-11-13T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
95,95,2,Penetration Tester,test_completed,83.6,2024-11-04T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
96,96,2,Penetration Tester,test_completed,82.7,2024-10-21T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
97,97,2,Penetration Tester,test_completed,82.2,2024-11-06T00:00:00,"Metasploit, Burp Suite, Penetration Testing","Nmap, OWASP"
98,98,2,Penetration Tester,test_completed,78.4,2024-10-22T00:00:00,"Nmap, OWASP, Metasploit, Burp Suite, Penetration Testing",
99,99,2,Penetration Tester,test_completed,78.0,2024-10-22T00:00:00,"OWASP, Burp Suite","Metasploit, Nmap, Penetration Testing"
100,100,2,Penetration Tester,test_completed,81.0,2024-10-27T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
101,101,2,Penetration Tester,test_completed,81.0,2024-11-16T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
102,102,2,Penetration Tester,test_completed,81.5,2024-10-28T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
103,103,2,Penetration Tester,test_completed,76.9,2024-11-16T00:00:00,"Metasploit, Burp Suite, Penetration Testing","Nmap, OWASP"
104,104,2,Penetration Tester,test_completed,77.7,2024-11-01T00:00:00,"Metasploit, Burp Suite","Nmap, OWASP, Penetration Testing"
105,105,2,Penetration Tester,test_completed,78.7,2024-10-12T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
106,106,2,Penetration Tester,test_completed,69.7,2024-10-01T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
107,107,2,Penetration Tester,test_completed,72.9,2024-11-10T00:00:00,"Metasploit, Nmap, OWASP","Penetration Testing, Burp Suite"
108,108,2,Penetration Tester,test_completed,71.7,2024-10-04T00:00:00,"Nmap, OWASP, Burp Suite","Metasploit, Penetration Testing"
109,109,2,Penetration Tester,test_completed,68.5,2024-11-04T00:00:00,"OWASP, Burp Suite","Metasploit, Nmap, Penetration Testing"
110,110,2,Penetration Tester,test_completed,73.8,2024-10-06T00:00:00,"Nmap, Burp Suite, Penetration Testing","Metasploit, OWASP"
111,111,2,Penetration Tester,test_completed,69.6,2024-10-07T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
112,112,2,Penetration Tester,test_completed,70.6,2024-10-01T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
113,113,2,Penetration Tester,test_completed,70.3,2024-10-28T00:00:00,"Metasploit, Nmap, Penetration Testing","OWASP, Burp Suite"
114,114,2,Penetration Tester,test_completed,74.0,2024-10-28T00:00:00,"Metasploit, Nmap, OWASP, Penetration Testing",Burp Suite
115,115,2,Penetration Tester,test_completed,68.7,2024-10-25T00:00:00,"Nmap, OWASP, Penetration Testing, Burp Suite",Metasploit
116,116,2,Penetration Tester,test_completed,68.8,2024-10-16T00:00:00,"Metasploit, Nmap, OWASP","Penetration Testing, Burp Suite"
117,117,2,Penetration Tester,test_completed,73.8,2024-11-02T00:00:00,"Metasploit, OWASP, Burp Suite","Nmap, Penetration Testing"
118,118,2,Penetration Tester,test_completed,71.0,2024-10-27T00:00:00,"Nmap, OWASP, Burp Suite","Metasploit, Penetration Testing"
119,119,2,Penetration Tester,test_completed,65.4,2024-10-11T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
120,120,2,Penetration Tester,test_completed,70.3,2024-10-30T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
121,121,2,Penetration Tester,test_completed,72.8,2024-11-13T00:00:00,"Metasploit, Nmap, Burp Suite","Penetration Testing, OWASP"
122,122,2,Penetration Tester,test_completed,66.7,2024-10-18T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
123,123,2,Penetration Tester,test_completed,74.2,2024-10-10T00:00:00,"Nmap, OWASP, Metasploit, Burp Suite, Penetration Testing",
124,124,2,Penetration Tester,test_completed,68.1,2024-10-01T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
125,125,2,Penetration Tester,test_completed,66.6,2024-10-21T00:00:00,"Metasploit, Nmap, Burp Suite","Penetration Testing, OWASP"
126,126,2,Penetration Tester,test_completed,67.2,2024-10-26T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
127,127,2,Penetration Tester,test_completed,73.2,2024-10-26T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
128,128,2,Penetration Tester,test_completed,66.3,2024-10-04T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
129,129,2,Penetration Tester,test_completed,72.1,2024-10-08T00:00:00,"Metasploit, OWASP, Penetration Testing, Burp Suite",Nmap
130,130,2,Penetration Tester,test_completed,72.4,2024-11-05T00:00:00,"Nmap, OWASP, Penetration Testing","Metasploit, Burp Suite"
131,131,2,Penetration Tester,test_completed,75.8,2024-10-24T00:00:00,"Nmap, OWASP, Metasploit, Burp Suite, Penetration Testing",
132,132,2,Penetration Tester,test_completed,76.2,2024-10-16T00:00:00,"Nmap, OWASP, Metasploit, Burp Suite, Penetration Testing",
133,133,2,Penetration Tester,test_completed,65.8,2024-10-25T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
134,134,2,Penetration Tester,test_completed,67.1,2024-11-15T00:00:00,"Nmap, Burp Suite","Metasploit, OWASP, Penetration Testing"
135,135,2,Penetration Tester,test_completed,69.2,2024-11-14T00:00:00,"Metasploit, Nmap, Burp Suite","Penetration Testing, OWASP"
136,136,2,Penetration Tester,not_eligible,60.4,2024-10-26T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
137,137,2,Penetration Tester,not_eligible,63.0,2024-11-16T00:00:00,"Metasploit, OWASP, Burp Suite","Nmap, Penetration Testing"
138,138,2,Penetration Tester,not_eligible,55.4,2024-11-14T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
139,139,2,Penetration Tester,not_eligible,56.2,2024-10-26T00:00:00,"Metasploit, Nmap, Burp Suite","Penetration Testing, OWASP"
140,140,2,Penetration Tester,not_eligible,59.0,2024-10-25T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
141,141,2,Penetration Tester,not_eligible,64.1,2024-11-12T00:00:00,"Nmap, OWASP, Metasploit, Burp Suite, Penetration Testing",
142,142,2,Penetration Tester,not_eligible,62.1,2024-10-24T00:00:00,"Penetration Testing, Burp Suite","Metasploit, Nmap, OWASP"
143,143,2,Penetration Tester,not_eligible,60.4,2024-10-22T00:00:00,"Metasploit, Nmap, Burp Suite","Penetration Testing, OWASP"
144,144,2,Penetration Tester,not_eligible,55,2024-10-18T00:00:00,"Metasploit, Nmap","Penetration Testing, OWASP, Burp Suite"
145,145,2,Penetration Tester,not_eligible,58.8,2024-11-08T00:00:00,"Metasploit, Nmap, OWASP","Penetration Testing, Burp Suite"
146,146,2,Penetration Tester,not_eligible,55,2024-10-10T00:00:00,"Nmap, OWASP, Burp Suite","Metasploit, Penetration Testing"
147,147,2,Penetration Tester,not_eligible,62.1,2024-10-30T00:00:00,"Metasploit, Burp Suite","Nmap, OWASP, Penetration Testing"
148,148,2,Penetration Tester,not_eligible,62.1,2024-11-09T00:00:00,"Metasploit, Nmap, OWASP, Burp Suite",Penetration Testing
149,149,2,Penetration Tester,not_eligible,61.2,2024-11-15T00:00:00,"Nmap, OWASP, Burp Suite","Metasploit, Penetration Testing"
150,150,2,Penetration Tester,not_eligible,55,2024-10-29T00:00:00,"Nmap, Burp Suite","Metasploit, OWASP, Penetration Testing"
151,151,2,Penetration Tester,not_eligible,61.9,2024-10-26T00:00:00,"OWASP, Burp Suite","Metasploit, Nmap, Penetration Testing"
152,152,2,Penetration Tester,not_eligible,57.5,2024-10-08T00:00:00,"Metasploit, Nmap, OWASP","Penetration Testing, Burp Suite"
153,153,2,Penetration Tester,not_eligible,58.9,2024-10-08T00:00:00,"Nmap, OWASP, Burp Suite","Metasploit, Penetration Testing"
154,154,2,Penetration Tester,not_eligible,64.4,2024-10-23T00:00:00,"Nmap, OWASP, Metasploit, Burp Suite, Penetration Testing",
155,155,2,Penetration Tester,not_eligible,60.2,2024-10-16T00:00:00,"Metasploit, Nmap, Burp Suite, Penetration Testing",OWASP
156,156,2,Penetration Tester,not_eligible,59.8,2024-11-10T00:00:00,"Nmap, OWASP, Penetration Testing","Metasploit, Burp Suite"
157,157,2,Penetration Tester,not_eligible,61.4,2024-10-17T00:00:00,"Metasploit, OWASP, Burp Suite","Nmap, Penetration Testing"
158,158,2,Penetration Tester,not_eligible,57.0,2024-11-03T00:00:00,"Metasploit, Nmap, OWASP, Penetration Testing",Burp Suite
159,159,2,Penetration Tester,not_eligible,57.2,2024-10-10T00:00:00,"Metasploit, Nmap, Penetration Testing","OWASP, Burp Suite"
160,160,2,Penetration Tester,not_eligible,55.7,2024-10-14T00:00:00,"Penetration Testing, OWASP, Burp Suite","Metasploit, Nmap"
161,161,3,Security Engineer,test_completed,88.3,2024-10-25T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
162,162,3,Security Engineer,test_completed,91.6,2024-10-22T00:00:00,"VPN, Security Architecture, IDS/IPS, Firewall Management, Network Security",
163,163,3,Security Engineer,test_completed,90.2,2024-10-13T00:00:00,"IDS/IPS, Network Security, VPN","Security Architecture, Firewall Management"
164,164,3,Security Engineer,test_completed,85.4,2024-10-28T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
165,165,3,Security Engineer,test_completed,91.4,2024-11-06T00:00:00,"Security Architecture, Firewall Management, Network Security, VPN",IDS/IPS
166,166,3,Security Engineer,test_completed,78.2,2024-10-02T00:00:00,"IDS/IPS, Firewall Management, VPN","Security Architecture, Network Security"
167,167,3,Security Engineer,test_completed,80.3,2024-10-23T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
168,168,3,Security Engineer,test_completed,79.1,2024-11-01T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
169,169,3,Security Engineer,test_completed,78.1,2024-10-08T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
170,170,3,Security Engineer,test_completed,81.4,2024-10-14T00:00:00,"Security Architecture, IDS/IPS","Firewall Management, Network Security, VPN"
171,171,3,Security Engineer,test_completed,80.1,2024-10-20T00:00:00,VPN,"Security Architecture, IDS/IPS, Firewall Management"
172,172,3,Security Engineer,test_completed,78.1,2024-11-14T00:00:00,"VPN, Security Architecture, IDS/IPS, Firewall Management, Network Security",
173,173,3,Security Engineer,test_completed,83.0,2024-10-17T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
174,174,3,Security Engineer,test_completed,82.9,2024-10-04T00:00:00,"Security Architecture, Firewall Management, Network Security, VPN",IDS/IPS
175,175,3,Security Engineer,test_completed,79.5,2024-11-14T00:00:00,"Security Architecture, IDS/IPS, Firewall Management","Network Security, VPN"
176,176,3,Security Engineer,test_completed,75.4,2024-11-04T00:00:00,"Security Architecture, Firewall Management","IDS/IPS, Network Security, VPN"
177,177,3,Security Engineer,test_completed,78.2,2024-10-15T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
178,178,3,Security Engineer,test_completed,84.2,2024-11-04T00:00:00,"IDS/IPS, Firewall Management, Network Security, VPN",Security Architecture
179,179,3,Security Engineer,test_completed,78.6,2024-11-04T00:00:00,"Security Architecture, Firewall Management, Network Security","IDS/IPS, VPN"
180,180,3,Security Engineer,test_completed,77.0,2024-11-04T00:00:00,"IDS/IPS, Firewall Management, VPN","Security Architecture, Network Security"
181,181,3,Security Engineer,test_completed,71.1,2024-10-26T00:00:00,"IDS/IPS, Firewall Management, Network Security, VPN",Security Architecture
182,182,3,Security Engineer,test_completed,69.9,2024-10-06T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
183,183,3,Security Engineer,test_completed,65.9,2024-11-04T00:00:00,"Security Architecture, Firewall Management, Network Security, VPN",IDS/IPS
184,184,3,Security Engineer,test_completed,72.6,2024-10-10T00:00:00,"Security Architecture, IDS/IPS, Firewall Management","Network Security, VPN"
185,185,3,Security Engineer,test_completed,65.6,2024-11-04T00:00:00,"Security Architecture, IDS/IPS, VPN","Firewall Management, Network Security"
186,186,3,Security Engineer,test_completed,65.4,2024-11-07T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
187,187,3,Security Engineer,test_completed,70.2,2024-11-06T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
188,188,3,Security Engineer,test_completed,68.4,2024-10-21T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
189,189,3,Security Engineer,test_completed,71.1,2024-10-10T00:00:00,"IDS/IPS, Network Security, VPN","Security Architecture, Firewall Management"
190,190,3,Security Engineer,test_completed,71.4,2024-10-14T00:00:00,"Security Architecture, IDS/IPS, VPN","Firewall Management, Network Security"
191,191,3,Security Engineer,test_completed,72.2,2024-11-02T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
192,192,3,Security Engineer,test_completed,67.4,2024-11-12T00:00:00,"Security Architecture, IDS/IPS, VPN","Firewall Management, Network Security"
193,193,3,Security Engineer,test_completed,66.7,2024-10-06T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
194,194,3,Security Engineer,test_completed,68.8,2024-11-14T00:00:00,"Security Architecture, IDS/IPS","Firewall Management, Network Security, VPN"
195,195,3,Security Engineer,test_completed,66.9,2024-11-08T00:00:00,"Security Architecture, IDS/IPS, VPN","Firewall Management, Network Security"
196,196,3,Security Engineer,test_completed,66.2,2024-10-18T00:00:00,"Security Architecture, IDS/IPS, VPN","Firewall Management, Network Security"
197,197,3,Security Engineer,test_completed,65.4,2024-10-20T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
198,198,3,Security Engineer,test_completed,70.5,2024-10-16T00:00:00,"Security Architecture, Firewall Management, VPN","IDS/IPS, Network Security"
199,199,3,Security Engineer,test_completed,65.7,2024-10-05T00:00:00,"Security Architecture, Firewall Management, VPN","IDS/IPS, Network Security"
200,200,3,Security Engineer,test_completed,69.0,2024-10-13T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
201,201,3,Security Engineer,test_completed,69.9,2024-11-11T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
202,202,3,Security Engineer,test_completed,69.2,2024-10-31T00:00:00,"Security Architecture, IDS/IPS, Firewall Management, VPN",Network Security
203,203,3,Security Engineer,test_completed,70.7,2024-11-15T00:00:00,"IDS/IPS, Firewall Management, VPN","Security Architecture, Network Security"
204,204,3,Security Engineer,test_completed,70.6,2024-11-10T00:00:00,"Security Architecture, IDS/IPS","Firewall Management, Network Security, VPN"
205,205,3,Security Engineer,test_completed,65.4,2024-10-30T00:00:00,"IDS/IPS, Firewall Management, Network Security","Security Architecture, VPN"
